   Pos X,   Pos Y,  Result
174.255,83.038,        W.Insuffi.
186.167,83.038,              GOOD
180.211,83.774,        W.Insuffi.
198.08,83.038,        W.Insuffi.
192.124,83.774,        W.Insuffi.
198.08,89.642,        W.Insuffi.
186.167,89.642,        W.Insuffi.
192.124,90.378,              GOOD
180.211,90.378,              GOOD
174.255,89.642,        W.Insuffi.
180.211,44.023,              GOOD
174.255,43.287,        W.Insuffi.
192.124,44.023,              GOOD
186.167,43.287,        W.Insuffi.
198.08,43.287,        W.Insuffi.
192.124,37.419,        W.Insuffi.
198.08,36.683,              GOOD
180.211,37.419,        W.Insuffi.
186.167,36.683,              GOOD
174.255,36.683,              GOOD
192.675,75.38,        W.Insuffi.
192.675,63.467,        W.Insuffi.
193.411,69.423,        W.Insuffi.
192.675,51.554,        W.Insuffi.
193.411,57.511,        W.Insuffi.
199.279,51.554,        W.Insuffi.
199.279,63.467,        W.Insuffi.
200.015,57.511,              GOOD
200.015,69.423,              GOOD
199.279,75.38,        W.Insuffi.
179.695,69.423,        W.Insuffi.
178.959,75.38,        W.Insuffi.
179.695,57.511,              GOOD
178.959,63.467,        W.Insuffi.
178.959,51.554,        W.Insuffi.
173.091,57.511,        W.Insuffi.
172.355,51.554,              GOOD
173.091,69.423,        W.Insuffi.
172.355,63.467,              GOOD
172.355,75.38,        W.Insuffi.
104.255,83.038,              GOOD
116.167,83.038,              GOOD
110.211,83.774,        W.Insuffi.
128.08,83.038,              GOOD
122.124,83.774,              GOOD
128.08,89.642,        W.Insuffi.
116.167,89.642,        W.Insuffi.
122.124,90.378,              GOOD
110.211,90.378,              GOOD
104.255,89.642,        W.Insuffi.
110.211,44.023,              GOOD
104.255,43.287,              GOOD
122.124,44.023,              GOOD
116.167,43.287,              GOOD
128.08,43.287,        W.Insuffi.
122.124,37.419,              GOOD
128.08,36.683,              GOOD
110.211,37.419,              GOOD
116.167,36.683,              GOOD
104.255,36.683,              GOOD
122.675,75.38,              GOOD
122.675,63.467,              GOOD
123.411,69.423,        W.Insuffi.
122.675,51.554,              GOOD
123.411,57.511,        W.Insuffi.
129.279,51.554,        W.Insuffi.
129.279,63.467,        W.Insuffi.
130.015,57.511,              GOOD
130.015,69.423,              GOOD
129.279,75.38,        W.Insuffi.
109.695,69.423,              GOOD
108.959,75.38,        W.Insuffi.
109.695,57.511,              GOOD
108.959,63.467,              GOOD
108.959,51.554,        W.Insuffi.
103.091,57.511,              GOOD
102.355,51.554,              GOOD
103.091,69.423,        W.Insuffi.
102.355,63.467,              GOOD
102.355,75.38,              GOOD
32.355,75.38,              GOOD
32.355,63.467,              GOOD
33.092,69.423,        W.Insuffi.
32.355,51.554,              GOOD
33.092,57.511,              GOOD
38.959,51.554,        W.Insuffi.
38.959,63.467,              GOOD
39.696,57.511,              GOOD
39.696,69.423,              GOOD
38.959,75.38,        W.Insuffi.
60.016,69.423,              GOOD
59.279,75.38,        W.Insuffi.
60.016,57.511,              GOOD
59.279,63.467,        W.Insuffi.
59.279,51.554,        W.Insuffi.
53.412,57.511,              GOOD
52.675,51.554,              GOOD
53.412,69.423,        W.Insuffi.
52.675,63.467,              GOOD
52.675,75.38,              GOOD
34.255,36.683,              GOOD
46.168,36.683,              GOOD
40.211,37.419,              GOOD
58.08,36.683,              GOOD
52.124,37.419,              GOOD
